Lead ID,Evidence ID,Evidence Type,Claim,Source URL,Source Name,Checked At,Reliability,Run ID,Campaign ID
N5K-0752-001,N5K-0752-001-E01,SIGNAL_DATE,"Вакансия Коммерческий директор (CCO) у TELEOFIS опубликована 08.09.2026; зеркало HH показывает её как актуальную на дату проверки",https://dreamjob.ru/employers/47851/vakansii/137037003,"DreamJob / HH mirror",2026-09-08T08:53:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-001,N5K-0752-001-E02,SIGNAL_FULL_TEXT,"Полный текст вакансии ставит цель выстроить долгосрочную коммерческую стратегию и управляемый рост выручки; требует планов по выручке и прибыли, единой системы sales/marketing, запуска новых каналов, управления конверсией коммерческой воронки, ценообразованием и маржинальностью",https://dreamjob.ru/employers/47851/vakansii/137037003,"DreamJob / HH mirror",2026-09-08T08:53:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-001,N5K-0752-001-E03,LEGAL,"Официальный сайт TELEOFIS указывает АО «Телеофис», ОГРН 1087746486585 и ИНН 7726593280; независимый реестровый профиль подтверждает действующее АО с теми же реквизитами и частной формой собственности",https://teleofis.ru/contacts/,"Официальный сайт TELEOFIS + РБК Компании",2026-09-08T08:53:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-001,N5K-0752-001-E04,SCALE_LPR,"АО «ТЕЛЕОФИС» действует; ОКФС 16; среднесписочная численность 54; выручка за 2025 год 383,081 млн ₽; президент и руководитель — Колесников Андрей Александрович",https://companies.rbc.ru/id/1087746486585-ao-teleofis/,"РБК Компании",2026-09-08T08:53:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-001,N5K-0752-001-E05,CONTACT,"Официальный сайт TELEOFIS публикует +7 (495) 950-58-95 как телефон отдела продаж и post@teleofis.ru как корпоративный email",https://teleofis.ru/contacts/,"Официальный сайт TELEOFIS",2026-09-08T08:53:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-002,N5K-0752-002-E01,SIGNAL_DATE,"Вакансия Коммерческий директор B&B Кондитерской фабрики размещена 02.09.2026",https://nesiditsa.ru/vacancy/136499680,"Несидится / HH mirror",2026-09-08T08:59:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-002,N5K-0752-002-E02,SIGNAL_FULL_TEXT,"Полный текст вакансии указывает ответственность за все каналы продаж РФ и экспорт, клиентский сервис и транспортную логистику; ключевая цель — масштабирование бизнеса через развитие новых каналов и вывод на рынок новых продуктов",https://svoevagro.ru/vacancies/2136499680,"Своё / агрегатор вакансии",2026-09-08T08:59:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-002,N5K-0752-002-E03,LEGAL,"Вакансия прямо называет Подольскую кондитерскую фабрику АО «БИ-ЭНД-БИ (B&B)»; официальный сайт и независимый реестровый профиль подтверждают АО «БИ-ЭНД-БИ (В&В)», ИНН 5036002297, ОГРН 1035007205221",https://beandbe.ru/kontaktyi.html,"Официальный сайт B&B + РБК Компании",2026-09-08T08:59:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-002,N5K-0752-002-E04,SCALE_LPR,"АО «БИ-ЭНД-БИ (В&В)» действует; ОКФС 16; 334 сотрудника; выручка за 2024 год 2,581676 млрд ₽; управляющий — индивидуальный предприниматель Шкурский Виталий Васильевич",https://companies.rbc.ru/id/1035007205221-ao-bi-end-bi-v-and-v/,"РБК Компании",2026-09-08T08:59:00+03:00,Высокая,N5K-20260908-752,new_5000
N5K-0752-002,N5K-0752-002-E05,CONTACT,"Официальный сайт B&B публикует +7 (495) 542-40-43 и info@beandbe.ru как корпоративные контакты, а также отдельные маршруты региональных и экспортных продаж",https://beandbe.ru/kontaktyi.html,"Официальный сайт B&B",2026-09-08T08:59:00+03:00,Высокая,N5K-20260908-752,new_5000
